accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Nucleic Acid 	Host
JN799424.1	2205	Mammalian orthoreovirus strain 729 segment M2 mu-1 gene, complete cds	351073	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	unclassified Mammalian orthoreovirus subspecies/strain	unclassified Mammalian orthoreovirus strain	RNA	Animal
JN799425.1	2243	Mammalian orthoreovirus strain 729 segment M3 mu-NS gene, complete cds	351073	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	unclassified Mammalian orthoreovirus subspecies/strain	unclassified Mammalian orthoreovirus strain	RNA	Animal
JN799426.1	3857	Mammalian orthoreovirus strain 729 segment L1 lambda-3 gene, complete cds	351073	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	unclassified Mammalian orthoreovirus subspecies/strain	unclassified Mammalian orthoreovirus strain	RNA	Animal
JN799427.1	3916	Mammalian orthoreovirus strain 729 segment L2 lambda-2 gene, complete cds	351073	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	unclassified Mammalian orthoreovirus subspecies/strain	unclassified Mammalian orthoreovirus strain	RNA	Animal
JN799428.1	3903	Mammalian orthoreovirus strain 729 segment L3 lambda-1 gene, complete cds	351073	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	unclassified Mammalian orthoreovirus subspecies/strain	unclassified Mammalian orthoreovirus strain	RNA	Animal
JN801033.1	1116	Wyeomyia virus strain TRVL8349 nucleocapsid protein gene, complete cds	1138487	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	Wyeomyia virus strain TRVL8349	Wyeomyia virus strain TRVL8349	RNA	Animal
JN801034.2	4595	Wyeomyia virus strain TRVL8349 polyprotein gene, complete cds	1138487	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	Wyeomyia virus strain TRVL8349	Wyeomyia virus strain TRVL8349	RNA	Animal
JN801035.1	6837	Wyeomyia virus strain TRVL8349 RNA-dependent RNA polymerase gene, complete cds	1138487	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	Wyeomyia virus strain TRVL8349	Wyeomyia virus strain TRVL8349	RNA	Animal
JN801036.1	1083	Wyeomyia virus strain Darien nucleocapsid protein gene, complete cds	1138488	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	Wyeomyia virus strain Darien	Wyeomyia virus strain Darien	RNA	Human
JN801037.1	4535	Wyeomyia virus strain Darien polyprotein gene, complete cds	1138488	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	Wyeomyia virus strain Darien	Wyeomyia virus strain Darien	RNA	Human
JN801038.1	6838	Wyeomyia virus strain Darien RNA-dependent RNA polymerase gene, complete cds	1138488	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Wyeomyia orthobunyavirus	Wyeomyia virus strain Darien	Wyeomyia virus strain Darien	RNA	Human
JN807387.1	7387	Porcine enterovirus 15 strain wild boar/WBD/2011/HUN polyprotein gene, complete cds	1133974	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus G	Porcine enterovirus 15	Porcine enterovirus 15	RNA	Animal
JN815251.1	6613	Human rhinovirus C strain HRV-C40_p1221_sR1448_2009 polyprotein gene, partial cds	463676	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus C	unclassified Rhinovirus C subspecies/strain	unclassified Rhinovirus C strain	RNA	Human
JN831216.1	1059	Rotavirus A strain RVA/Cow-wt/ZAF/1604/2007/G8P[1] segment 8, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
JN831222.1	2591	Rotavirus A strain RVA/Cow-wt/ZAF/1604/2007/G8P[1] segment 3, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
JN831223.1	2362	Rotavirus A strain RVA/Cow-wt/ZAF/1604/2007/G8P[1] segment 4, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
JN831225.1	1062	Rotavirus A strain RVA/Cow-wt/ZAF/1604/2007/G8P[1] segment 9, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
JN831229.1	751	Rotavirus A strain RVA/Cow-wt/ZAF/1605/2007/G6P[5] segment 10, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
JN831234.1	2362	Rotavirus A strain RVA/Cow-wt/ZAF/1605/2007/G6P[5] segment 4, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
JN831236.1	1062	Rotavirus A strain RVA/Cow-wt/ZAF/1605/2007/G6P[5] segment 9, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
JN831651.1	5076	Porcine bocavirus 5/JS677, complete genome	1131622	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Porcine bocavirus 5	Porcine bocavirus 5/JS677	Porcine bocavirus 5/JS677	DNA	Animal
JN860680.1	35384	Human adenovirus 16 strain E26, complete genome	31544	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 16	Human adenovirus 16	DNA	Human
JN867756.1	6635	Human cosavirus A20 strain NG263 polyprotein gene, complete cds	1181282	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	Cosavirus A	Human cosavirus A20	Human cosavirus A20	RNA	Human
JN867758.1	6656	Human cosavirus F strain PK5006 polyprotein gene, complete cds	2003652	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	Cosavirus F	unclassified Cosavirus F subspecies/strain	unclassified Cosavirus F strain	RNA	Human
JN867759.1	6950	Human cosavirus A19 strain PK6187 polyprotein gene, complete cds	1181281	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	Cosavirus A	Human cosavirus A19	Human cosavirus A19	RNA	Human
JN870848.1	9501	Spodoptera exigua iflavirus 2 isolate Korean, complete genome	1228012	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Spodoptera exigua iflavirus 2	unclassified Spodoptera exigua iflavirus 2 subspecies/strain	unclassified Spodoptera exigua iflavirus 2 strain	RNA	Insect
JN874559.1	31100	Rabbit coronavirus HKU14 strain HKU14-1, complete genome	1160968	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Rabbit coronavirus HKU14	unclassified Rabbit coronavirus HKU14 subspecies/strain	unclassified Rabbit coronavirus HKU14 strain	RNA	Animal
JN880449.1	35580	Simian adenovirus A1163, complete genome	1159187	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian adenovirus B	Simian adenovirus A1163	Simian adenovirus A1163	DNA	Animal
JN880450.1	35726	Simian adenovirus A1173, complete genome	1159188	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian adenovirus B	Simian adenovirus A1173	Simian adenovirus A1173	DNA	Animal
JN880454.1	35578	Simian adenovirus A1312, complete genome	1159192	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian adenovirus B	Simian adenovirus A1312	Simian adenovirus A1312	DNA	Animal
JN881986.1	2940	Bluetongue virus 1 strain CSIRO156 segment 2, complete sequence	35327	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 1	Bluetongue virus 1	RNA	Animal
JN881988.1	1981	Bluetongue virus 1 strain CSIRO156 segment 4, complete sequence	35327	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 1	Bluetongue virus 1	RNA	Animal
JN881989.1	1770	Bluetongue virus 1 strain CSIRO156 segment 5, complete sequence	35327	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 1	Bluetongue virus 1	RNA	Animal
JN881990.1	1635	Bluetongue virus 1 strain CSIRO156 segment 6, complete sequence	35327	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 1	Bluetongue virus 1	RNA	Animal
JN881992.1	1125	Bluetongue virus 1 strain CSIRO156 segment 8, complete sequence	35327	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 1	Bluetongue virus 1	RNA	Animal
JN881993.1	1052	Bluetongue virus 1 strain CSIRO156 segment 9, complete sequence	35327	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 1	Bluetongue virus 1	RNA	Animal
JN882655.1	8396	Human immunodeficiency virus strain URF5 gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and env glycoprotein (env) genes, complete cds; and nef protein (nef) gene, partial cds	12721	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus	unclassified Human immunodeficiency virus subspecies/strain	unclassified Human immunodeficiency virus strain	RNA	#VALUE!
JN885137.1	129085	Macaca fuscata rhadinovirus isolate 12E2, complete genome	272551	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Rhadinovirus	Macacine gammaherpesvirus 11	Macaca fuscata rhadinovirus	Macaca fuscata rhadinovirus	DNA	Animal
JN897398.1	3433	Ocozocoautla de Espinosa virus strain AV B1030026 segment S, complete sequence	1163668	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	Ocozocoautla de Espinosa virus	Ocozocoautla de Espinosa virus	RNA	Animal
JN899075.1	7696	Bat sapovirus TLC58/HK, complete genome	1185359	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Bat sapovirus TLC58/HK	unclassified Bat sapovirus TLC58/HK subspecies/strain	unclassified Bat sapovirus TLC58/HK strain	RNA	Animal
JN903518.2	1062	Rotavirus A strain RVA/Horse-wt/IRL/03V04954/2003/G3P[12] segment 9, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
JN967629.1	3943	Reovirus GCRV104 segment 1, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967630.1	3864	Reovirus GCRV104 segment 2, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967631.1	3729	Reovirus GCRV104 segment 3, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967632.1	1912	Reovirus GCRV104 segment 4, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967633.1	2210	Reovirus GCRV104 segment 5, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967634.1	2003	Reovirus GCRV104 segment 6, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967635.1	1581	Reovirus GCRV104 segment 7, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967636.1	1319	Reovirus GCRV104 segment 8, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967637.1	1141	Reovirus GCRV104 segment 9, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967638.1	1128	Reovirus GCRV104 segment 10, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN967639.1	876	Reovirus GCRV104 segment 11, complete sequence	1164802	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Reovirus GCRV104	unclassified Reovirus GCRV104 subspecies/strain	unclassified Reovirus GCRV104 strain	RNA	Animal
JN998607.1	6854	Ferret hepatitis E virus strain FRHEV20, complete genome	1213422	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Rocahepevirus	Rocahepevirus ratti	Ferret hepatitis E virus	Ferret hepatitis E virus	RNA	Animal
JQ001749.1	6796	Orthohepevirus D isolate BatHEV/BS7/GE/2009, complete genome	1678146	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Chirohepevirus	Chirohepevirus eptesici	unclassified Chirohepevirus eptesici subspecies/strain	unclassified Chirohepevirus eptesici strain	RNA	Animal
JQ011377.1	1966	Silurus glanis circovirus isolate H5, complete genome	1126411	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	European catfish circovirus	Silurus glanis circovirus	Silurus glanis circovirus	DNA	Animal
JQ031032.1	7554	Equus ferus caballus papillomavirus type 4, complete genome	1235428	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoiotapapillomavirus	Dyoiotapapillomavirus 2	Equus caballus papillomavirus 4	Equus caballus papillomavirus 4	DNA	Animal
JQ031033.1	7519	Equus ferus caballus papillomavirus type 5, complete genome	1235429	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoiotapapillomavirus	Dyoiotapapillomavirus 2	Equus caballus papillomavirus 5	Equus caballus papillomavirus 5	DNA	Animal
JQ037753.1	5065	Eidolon helvum parvovirus 1, complete genome	1131483	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Tetraparvovirus	Chiropteran tetraparvovirus 1	Eidolon helvum (bat) parvovirus	Eidolon helvum (bat) parvovirus	DNA	Animal
JQ037754.1	4595	Artibeus jamaicensis parvovirus 1, complete genome	1131485	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Artibeus jamaicensis parvovirus 1	unclassified Artibeus jamaicensis parvovirus 1 subspecies/strain	unclassified Artibeus jamaicensis parvovirus 1 strain	DNA	Animal
JQ041368.1	7340	Human coxsackievirus B6 strain LEV15, complete genome	74561	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Coxsackievirus B6	Coxsackievirus B6	RNA	Human
JQ065044.1	26041	White-eye coronavirus HKU16 strain HKU16-6847, complete genome	1159907	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Deltacoronavirus	White-eye coronavirus HKU16	unclassified White-eye coronavirus HKU16 subspecies/strain	unclassified White-eye coronavirus HKU16 strain	RNA	Animal
JQ065045.1	26083	Sparrow coronavirus HKU17 strain HKU17-6124, complete genome	1159906	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Deltacoronavirus	Sparrow coronavirus HKU17	unclassified Sparrow coronavirus HKU17 subspecies/strain	unclassified Sparrow coronavirus HKU17 strain	RNA	Animal
JQ065046.1	26689	Magpie-robin coronavirus HKU18 strain HKU18-chu3, complete genome	1159903	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Deltacoronavirus	Magpie-robin coronavirus HKU18	unclassified Magpie-robin coronavirus HKU18 subspecies/strain	unclassified Magpie-robin coronavirus HKU18 strain	RNA	Animal
JQ065048.1	26227	Wigeon coronavirus HKU20 strain HKU20-9243, complete genome	1159908	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Deltacoronavirus	Wigeon coronavirus HKU20	unclassified Wigeon coronavirus HKU20 subspecies/strain	unclassified Wigeon coronavirus HKU20 strain	RNA	Animal
JQ065709.1	9383	Hepatitis C virus isolate SH37 polyprotein gene, complete cds	11103	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	unclassified Hepacivirus C subspecies/strain	unclassified Hepacivirus C strain	RNA	Human
JQ070366.1	3962	Tilligerry virus isolate AUS1978/03 segment 1, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070367.1	2980	Tilligerry virus isolate AUS1978/03 segment 2, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070368.1	2773	Tilligerry virus isolate AUS1978/03 segment 3, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070369.1	1984	Tilligerry virus isolate AUS1978/03 segment 4, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070370.1	1770	Tilligerry virus isolate AUS1978/03 segment 5, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070371.1	1658	Tilligerry virus isolate AUS1978/03 segment 6, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070372.1	1176	Tilligerry virus isolate AUS1978/03 segment 7, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070373.1	1128	Tilligerry virus isolate AUS1978/03 segment 8, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070374.1	1050	Tilligerry virus isolate AUS1978/03 segment 9, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070375.1	861	Tilligerry virus isolate AUS1978/03 segment 10, complete sequence	1170505	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	Tilligerry virus	Tilligerry virus	RNA	Insect
JQ070376.1	3962	Eubenangee virus isolate AUS1963/01 segment 1, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070377.1	2958	Eubenangee virus isolate AUS1963/01 segment 2, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070378.1	2773	Eubenangee virus isolate AUS1963/01 segment 3, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070379.1	1984	Eubenangee virus isolate AUS1963/01 segment 4, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070380.1	1763	Eubenangee virus isolate AUS1963/01 segment 5, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070381.1	1658	Eubenangee virus isolate AUS1963/01 segment 6, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070382.1	1175	Eubenangee virus isolate AUS1963/01 segment 7, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070383.1	1128	Eubenangee virus isolate AUS1963/01 segment 8, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070384.1	1047	Eubenangee virus isolate AUS1963/01 segment 9, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070385.1	856	Eubenangee virus isolate AUS1963/01 segment 10, complete sequence	40056	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Eubenangee virus	unclassified Eubenangee virus subspecies/strain	unclassified Eubenangee virus strain	RNA	Insect
JQ070386.1	3948	Pata virus isolate CAF1968/01 segment 1, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070387.1	2941	Pata virus isolate CAF1968/01 segment 2, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070388.1	2770	Pata virus isolate CAF1968/01 segment 3, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070389.1	1982	Pata virus isolate CAF1968/01 segment 4, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070390.1	1785	Pata virus isolate CAF1968/01 segment 5, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070391.1	1644	Pata virus isolate CAF1968/01 segment 6, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070392.1	1177	Pata virus isolate CAF1968/01 segment 7, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070393.1	1159	Pata virus isolate CAF1968/01 segment 8, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070394.1	1083	Pata virus isolate CAF1968/01 segment 9, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ070395.1	851	Pata virus isolate CAF1968/01 segment 10, complete sequence	1170506	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Pata virus	unclassified Pata virus subspecies/strain	unclassified Pata virus strain	RNA	Insect
JQ082300.1	1746	Sangassou virus strain SA14 N protein (S) gene, complete cds	1980489	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	unclassified Sangassou orthohantavirus subspecies/strain	unclassified Sangassou orthohantavirus strain	RNA	Animal
JQ082301.1	3651	Sangassou virus strain SA14 glycoprotein precursor (M) gene, complete cds	1980489	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	unclassified Sangassou orthohantavirus subspecies/strain	unclassified Sangassou orthohantavirus strain	RNA	Animal
